"id","name","proposed_family","official_fields","assignment_kind","reason","source_url"
"imperialdramon_fm","Imperialdramon FM","Dragon's Roar","Dark Area | Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"imperialdramon_pm","Imperialdramon PM","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"impmon","Impmon","Nightmare Soldiers","Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"infermon","Infermon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"justimon","Justimon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kabuterimon","Kabuterimon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"kaisergreymon","KaiserGreymon","Deep Savers","Deep Savers | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"kendogarurumon","KendoGarurumon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kentaurosmon","Kentaurosmon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"keramon","Keramon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"kerpymon_blk","Kerpymon (Blk)","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kerpymon_good","Kerpymon (Good)","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kingetemon","KingEtemon","Metal Empire","Metal Empire | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nightmare_Soldiers"
"knightmon","Knightmon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"kuramon","Kuramon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kurisarimon","Kurisarimon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"kuwagamon","Kuwagamon","Wind Guardians","Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"kuzuhamon","Kuzuhamon","Nightmare Soldiers","Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"kyubimon","Kyubimon","Wind Guardians","Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"ladydevimon","LadyDevimon","Nightmare Soldiers","Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"lalamon","Lalamon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"leomon","Leomon","Virus Busters","Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"leopardmon","Leopardmon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"leopardmon_lm","Leopardmon LM","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"leopardmon_nx","Leopardmon NX","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"leviamon","Leviamon","Deep Savers","Dark Area | Deep Savers | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nightmare_Soldiers"
"lilamon","Lilamon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"lilithmon","Lilithmon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"lillymon","Lillymon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"lobomon","Lobomon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"lotosmon","Lotosmon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"lucemon_fm","Lucemon FM","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"lucemon_sm","Lucemon SM","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"machinedramon","Machinedramon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"magnaangemon","MagnaAngemon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"magnadramon","Magnadramon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"magnagarurumon","MagnaGarurumon","Virus Busters","Metal Empire | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"magnagarurumon_sv","MagnaGarurumon (SV)","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"magnamon","Magnamon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"mamemon","Mamemon","Metal Empire","Metal Empire | Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"marineangemon","MarineAngemon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"mastemon","Mastemon","Virus Busters","Nature Spirits | Nightmare Soldiers | Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"matadormon","Matadormon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"megadramon","Megadramon","Dragon's Roar","Dragon's Roar | Metal Empire | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Wind_Guardians"
"megagargomon","MegaGargomon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"megakabuterimon","MegaKabuterimon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"megidramon","Megidramon","Dragon's Roar","Dark Area | Dragon's Roar | Metal Empire | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nightmare_Soldiers"
"meramon","Meramon","Dragon's Roar","Dragon's Roar | Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"merukimon","Merukimon","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"metaletemon","MetalEtemon","Metal Empire","Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"metalgarurumon","MetalGarurumon","Metal Empire","Metal Empire | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"metalgreymon","MetalGreymon","Dragon's Roar","Deep Savers | Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"metalgreymon_blue","MetalGreymon (Blue)","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"metalmamemon","MetalMamemon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"metalseadramon","MetalSeadramon","Deep Savers","Deep Savers | Metal Empire","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire"
"metaltyrannomon","MetalTyrannomon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"meteormon","Meteormon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"monodramon","Monodramon","Dragon's Roar","Dragon's Roar | Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"motimon","Motimon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"mudfrigimon","MudFrigimon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"mushroomon","Mushroomon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"myotismon","Myotismon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"nanimon","Nanimon","Nightmare Soldiers","Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"numemon","Numemon","Metal Empire","Metal Empire | Nature Spirits | Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"ogremon","Ogremon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"okuwamon","Okuwamon","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"omnimon","Omnimon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"omnimon_nx","Omnimon NX","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"omnimon_zwart","Omnimon Zwart","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"omnishoutmon","OmniShoutmon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"ophanimon","Ophanimon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"otamamon","Otamamon","Deep Savers","Deep Savers | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits"
"ouryumon","Ouryumon","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"pabumon","Pabumon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"pagumon","Pagumon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"paildramon","Paildramon","Dragon's Roar","Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"palmon","Palmon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"pandamon","Pandamon","Metal Empire","Metal Empire | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown"
"panjyamon","Panjyamon","Virus Busters","Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"patamon","Patamon","Virus Busters","Jungle Troopers | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"phantomon","Phantomon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"piedmon","Piedmon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"piximon","Piximon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"platinumnumemon","PlatinumNumemon","Metal Empire","Metal Empire | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nightmare_Soldiers"
"platinumsukamon","PlatinumSukamon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"princemamemon","PrinceMamemon","Metal Empire","Dark Area | Metal Empire | Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"pumpkinmon","Pumpkinmon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"punimon","Punimon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"puppetmon","Puppetmon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"rapidmon","Rapidmon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"rapidmon_armor","Rapidmon (Armor)","Virus Busters","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"raptordramon","Raptordramon","Dragon's Roar","Dragon's Roar | Metal Empire | Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"raremon","Raremon","Metal Empire","Metal Empire | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nightmare_Soldiers"
"ravemon","Ravemon","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"ravemon_bm","Ravemon BM","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"renamon","Renamon","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"reppamon","Reppamon","Virus Busters","Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"rizegreymon","RizeGreymon","Dragon's Roar","Dragon's Roar | Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"rosemon","Rosemon","Jungle Troopers","Jungle Troopers | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"rosemon_bm","Rosemon BM","Jungle Troopers","Jungle Troopers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Wind_Guardians"
"ryudamon","Ryudamon","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"saberleomon","SaberLeomon","Virus Busters","Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"sakuyamon","Sakuyamon","Virus Busters","Nature Spirits | Nightmare Soldiers | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"salamon","Salamon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"sangloupmon","Sangloupmon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"saviorhuckmon","SaviorHuckmon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"seraphimon","Seraphimon","Virus Busters","Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"shakkoumon","Shakkoumon","Virus Busters","Deep Savers | Metal Empire | Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"shellnumemon","ShellNumemon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"shinegreymon","ShineGreymon","Dragon's Roar","Dragon's Roar | Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"shinegreymon_bm","ShineGreymon BM","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"shogungekomon","ShogunGekomon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"shoutmon","Shoutmon","Virus Busters","Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
